Region,Country,Province,StrainID,sra_code,lat,lon,cave,year,adj.lat,adj.lon
North America,Canada,QU,QU13,QU13,45.52,-71.28,Missing27,2013,45.52,-71.28
North America,Canada,NB,Gd05846,W41203,45.9369,-64.4769,Missing28,2012,45.9369,-64.4769
North America,Canada,ON,ON15,ON15,46.140093,-81.907196,Missing29,2013,46.140093,-81.907196
North America,Canada,ON,ON8,ON8,46.31,-78.71,Missing30,2013,46.31,-78.71
North America,Canada,ON,ON9,ON9,46.31,-78.71,Missing30,2013,46.31,-78.71
North America,Canada,QU,QU16,QU16,47.002968,-71.194153,Missing31,2013,47.002968,-71.194153
Europe,Switzerland,Argau,Gd00079,GU350433,47.08333,8,Missing32,2009,47.08333,8
Europe,Hungary,Kislod,Gd00080,GU350434,47.1455,17.6224,Missing33,2009,47.1455,17.6224
North America,Canada,ON,ON5,ON5,47.65,-80.77,Missing34,2013,47.65,-80.77
North America,Canada,ON,Gd00085,22971-3,48.15,-80.0333,Missing35,2010,48.15,-80.0333
North America,Canada,ON,ON2,ON2,48.15,-80.03,Missing36,2013,48.15,-80.03
North America,Canada,ON,ON1,ON1,48.16,-80.02,Missing37,2013,48.16,-80.02
North America,Canada,ON,ON7,ON7,48.46,-81.26,Missing38,2013,48.46,-81.26
North America,Canada,ON,ON6,ON6,48.46,-81.26,Missing38,2013,48.46,-81.26
North America,Canada,ON,Gd00486,22972-2W,50.4454,-86.0472,Missing39,2010,50.4454,-86.0472
Europe,Ukraine,Ukraine,Gd00501,Gd44,50.45,30.5,Missing40,2011,50.45,30.5
Europe,Germany,Thuringen,Gd00003,GU999986,51.5167,11.1667,Missing41,2009,51.5167,11.1667
North America,Canada,NB,Gd05837,461202,,,Missing42,2012,0,0
North America,Canada,NB,Gd05833,312202A,,,Missing43,2012,0,0
North America,Canada,NB,Gd05850,521106,,,Missing44,2012,0,0
North America,Canada,NB,Gd05849,572203,,,Missing45,2012,0,0
North America,Canada,NB,Gd05843,432101,,,Missing46,2012,0,0
North America,Canada,NB,Gd05845,W28109,,,Missing47,2012,0,0
North America,Canada,NB,Gd05844,2011,,,Missing48,2011,0,0
North America,Canada,NB,Gd05847,101204,,,Missing49,2012,0,0
North America,Canada,NB,Gd05839,W40104,,,Missing50,2012,0,0
North America,Canada,NB,Gd05831,W36105,,,Missing51,2012,0,0
North America,Canada,NB,Gd05829,W30108,,,Missing52,2012,0,0
North America,Canada,NB,Gd05830,42201,,,Missing53,2012,0,0
North America,Canada,NB,Gd05832,212104,,,Missing54,2012,0,0
North America,Canada,NB,Gd05834,622202A,,,Missing55,2012,0,0
North America,Canada,NB,Gd05835,422101,,,Missing56,2012,0,0
North America,Canada,NB,Gd05836,412101,,,Missing57,2012,0,0
North America,Canada,NB,Gd05838,MO7106,,,Missing58,2012,0,0
North America,Canada,NB,Gd05840,S1205,,,Missing59,2012,0,0
North America,Canada,NB,Gd05841,162202,,,Missing60,2012,0,0
North America,Canada,NB,Gd05842,11106,,,Missing61,2012,0,0
