GC,title,lat,lon,country,region,county,numfinds,,
 GC23A1R,Acqua salsa di Pillo - Grotta alla Vacca,N 43° 31.600,E 010° 58.231,Italy,Toscana,Firenze,44,,
 GC23FF3,Abaliget Cave,N 46° 08.198,E 018° 06.992,Hungary,Baranya,Pécsi járás,122,,
 GC23M96,la mine d'osenbach,N 47° 59.102,E 007° 13.158,France,Grand-Est,Haut-Rhin,297,,
 GC24FJE,Anna cave,N 48° 06.306,E 020° 37.505,Hungary,Borsod-Abaúj-Zemplén,Miskolci járás,238,,
 GC24GXT,Mucin Cave,N 48° 13.989,E 019° 40.568,Slovakia,Banskobystrický kraj,Lučenec,76,,
 GC24JH6,Le mémorial de la mine,N 47° 42.724,E 006° 38.906,France,Bourgogne-Franche-Comté,Haute-Saône,147,,
 GC24X4C,St. Istvan Cave,N 48° 05.978,E 020° 37.278,Hungary,Borsod-Abaúj-Zemplén,Miskolci járás,231,,
 GC254FW,"Alaunbergwerk / alum-mine ""Ewiges Leben""   ",N 50° 29.921,E 012° 08.101,Germany,Sachsen,Vogtlandkreis,883,,
 GC25DNV,Jaskinia Jasna ,N 50° 02.381,E 019° 54.069,Poland,Małopolskie,Kraków (Małopolskie),29,,
 GC25ENA,Höllerersee - Die Höhle,N 48° 01.571,E 012° 53.551,Austria,Oberösterreich,Braunau am Inn,373,,
 GC25F7X,Matejovicka jeskyne - Matejovicka Cave,N 50° 13.624,E 017° 44.228,Czechia,Moravskoslezský kraj,Bruntál,99,,
 GC25Q33,Grotte Sainte-Reine Cave,N 48° 38.712,E 005° 56.525,France,Grand-Est,Meurthe-et-Moselle,88,,
 GC25X6D,La Grotta Azzurra,N 40° 33.663,E 014° 12.350,Italy,Campania,Napoli,374,,
 GC25Z7V,Scarhem 06 - Buffy´s Cave,N 51° 42.782,E 008° 38.970,Germany,Nordrhein-Westfalen,Paderborn (Kr),342,,
