GC	title	lat	lon	country	province/state	numfinds
GC23FF3	Abaliget Cave	N 46° 08.198	E 018° 06.992	Hungary	Baranya	109
GC24FJE	Anna cave	N 48° 06.306	E 020° 37.505	Hungary	Borsod-Abaúj-Zemplén	209
GC24X4C	St. Istvan Cave	N 48° 05.978	E 020° 37.278	Hungary	Borsod-Abaúj-Zemplén	201
GC25F7X	Matejovicka jeskyne - Matejovicka Cave	N 50° 13.624	E 017° 44.228	Czechia	Moravskoslezský kraj	90
GC25Q33	Grotte Sainte-Reine Cave	N 48° 38.712	E 005° 56.525	France	Grand-Est	81
GC25Z7V	Scarhem 06 - Buffy´s Cave	N 51° 42.782	E 008° 38.970	Germany	Nordrhein-Westfalen	326
GC2657B	The Cave	N 50° 44.635	E 007° 44.741	Germany	Rheinland-Pfalz	109
GC26Z1P	Railway Cave	N 49° 43.862	E 011° 33.164	Germany	Bayern	18
GC276M3	SECRET CAVE	N 48° 37.695	E 010° 07.688	Germany	Baden-Württemberg	61
GC27DV7	La cave abondonnée	N 49° 27.412	E 006° 04.802	France	Grand-Est	593
GC27Z4P	"Skull Cachers ""Cave"""	N 50° 47.034	E 007° 28.392	Germany	Nordrhein-Westfalen	57
GC29E3N	Only a little Cave in Iserlohn	N 51° 23.010	E 007° 43.480	Germany	Nordrhein-Westfalen	26
GC2A8YD	Jeskyne Barcalina / Barcalina Cave	N 50° 26.276	E 014° 36.228	Czechia	Středočeský kraj	29
GC2B3WX	Selim cave	N 47° 35.420	E 018° 24.415	Hungary	Komárom-Esztergom	284
GC2BG5M	Kossuth Cave	N 48° 29.252	E 020° 33.050	Hungary	Borsod-Abaúj-Zemplén	91
GC2BG9F	Imre Vass Cave	N 48° 29.875	E 020° 32.208	Hungary	Borsod-Abaúj-Zemplén	57
GC2BH14	Rákóczi Cave	N 48° 31.234	E 020° 44.943	Hungary	Borsod-Abaúj-Zemplén	54
GC2BJ53	The Cave at Turold	N 48° 48.995	E 016° 38.411	Czechia	Jihomoravský kraj	1927
GC2BRYG	Spas in Hungary 04 / Cave Bath	N 48° 03.647	E 020° 44.735	Hungary	Borsod-Abaúj-Zemplén	296
GC2BWBY	Kokas mountain cave	N 47° 14.334	E 017° 53.234	Hungary	Veszprém	107
GC2BXDQ	Béke Cave	N 48° 27.647	E 020° 32.512	Hungary	Borsod-Abaúj-Zemplén	52
