"","gc.lat","gen.lat","gc.lon","gen.lon","dist","Region","Country","Province","StrainID","sra_code","lon.x","cave","year","adj.lat","adj.lon","GC","lon.y","max"
"94",45.8425,46.164912,-61.8994444444444,-62.81343,79348.3786828701,"North America","Canada","PEI","PE3","PE3",-62.81343,"Uigg",2013,46.164912,-62.81343,"GCWB1Q",-61.8994444444444,5
"95",45.8425,46.014727,-61.8994444444444,-62.610955,58412.3897464912,"North America","Canada","PEI","PE8","PE8",-62.610955,"Murray River",2013,46.014727,-62.610955,"GCWB1Q",-61.8994444444444,5
"96",45.8425,46.179741,-61.8994444444444,-62.88424,84983.0396049559,"North America","Canada","PEI","PE4","PE4",-62.88424,"Vernon Bridge",2013,46.179741,-62.88424,"GCWB1Q",-61.8994444444444,5
"97",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB46","NB46",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"98",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB34","NB34",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"99",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB17","NB17",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"100",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB56","NB56",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"101",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB52","NB52",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"102",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB21","NB21",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"103",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB42","NB42",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"104",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB65","NB65",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"105",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB70","NB70",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"106",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB22","NB22",-64.645711,"Berryton Cave",2011,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"107",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB53","NB53",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"108",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB13","NB13",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"109",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB15","NB15",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"110",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB10","NB10",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"111",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB20","NB20",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"112",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB18","NB18",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
