,NAU.sample.ID,Pd1,Pd2,Pd3,Pd4,Pd5,Pd6,Pd7,Pd8,Pd9,Pd10,Pd11,Pd12,Pd13,Pd14,Pd15,Pd16,Pd17,Pd18,Pd19,Pd20,Pd21,Pd22,Pd23,Pd1_bins,Pd2_bins,Pd3_bins,Pd4_bins,Pd5_bins,Pd6_bins,Pd7_bins,Pd8_bins,Pd10_bins,Pd11_bins,Pd12_bins,Pd13_bins,Pd14_bins,Pd15_bins,Pd16_bins,Pd17_bins,Pd18_bins,Pd19_bins,Pd20_bins,Pd21_bins,Pd22_bins,Pd23_bins
Gd00082,Gd00082,281,254,354,421,274,214,436,431,393,238,382,146,438,263,424,318,274,167,275,192,290,322,350,276,NA,353,415,273,213,431,408,237,380,141,432,251,412,315,268,155,271,186,289,321,346
Gd00083,Gd00083,281,253,354,421,274,214,436,431,394,238,388,147,438,264,424,318,274,167,280,192,289,322,351,276,NA,353,415,273,213,431,408,237,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd00084,Gd00084,286,254,354,421,273,214,437,431,394,237,388,147,438,264,424,319,274,167,280,192,290,322,350,282,NA,353,415,267,213,436,408,231,386,141,432,263,412,318,268,155,276,186,289,321,346
Gd00155,Gd00155,281,253,354,421,273,214,447,431,393,237,388,147,438,263,424,318,274,167,280,192,289,322,351,276,NA,353,415,267,213,446,408,231,386,141,432,251,412,315,268,155,276,186,283,321,346
Gd00156,Gd00156,281,253,354,421,274,214,436,530,394,237,388,147,439,263,424,318,274,167,280,192,289,322,351,276,NA,353,415,273,213,431,NA,231,386,141,438,251,412,315,268,155,276,186,283,321,346
Gd00157,Gd00157,281,253,354,421,274,208,436,331,394,237,388,147,438,264,424,318,274,167,280,192,289,322,350,276,NA,353,415,273,207,431,316,231,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd00477,Gd00477,281,253,354,421,274,208,436,431,394,238,394,147,438,264,424,318,274,167,280,192,289,322,350,276,NA,353,415,273,207,431,408,237,392,141,432,263,412,315,268,155,276,186,283,321,346
Gd00478,Gd00478,281,253,354,421,273,214,436,431,394,237,388,147,438,263,424,318,274,167,280,194,289,322,351,276,NA,353,415,267,213,431,408,231,386,141,432,251,412,315,268,155,276,192,283,321,346
Gd00479,Gd00479,280,254,354,421,273,214,436,431,393,237,388,147,438,264,424,319,274,167,280,192,289,322,351,276,NA,353,415,267,213,431,408,231,386,141,432,263,412,318,268,155,276,186,283,321,346
Gd00480,Gd00480,282,254,354,421,273,214,436,431,394,238,388,147,438,264,424,318,274,167,280,192,289,322,351,276,NA,353,415,267,213,431,408,237,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd00481,Gd00481,282,253,354,421,274,214,436,431,394,237,388,147,438,264,424,318,274,167,280,192,289,322,350,276,NA,353,415,273,213,431,408,231,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd00482,Gd00482,296,253,354,421,274,214,436,431,393,237,388,147,438,264,424,318,274,167,280,192,289,322,351,294,NA,353,415,273,213,431,408,231,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd00483,Gd00483,281,253,354,421,274,220,436,431,393,238,388,146,432,264,424,318,274,167,280,192,290,322,350,276,NA,353,415,273,219,431,408,237,386,141,426,263,412,315,268,155,276,186,289,321,346
Gd00484,Gd00484,281,253,354,421,274,208,436,331,394,237,388,147,438,264,424,318,274,167,280,192,289,322,351,276,NA,353,415,273,207,431,316,231,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd00485,Gd00485,281,253,354,421,274,208,447,431,394,238,388,147,438,263,424,318,274,167,280,192,289,322,351,276,NA,353,415,273,207,446,408,237,386,141,432,251,412,315,268,155,276,186,283,321,346
Gd00487,Gd00487,282,254,354,421,274,214,436,431,394,237,388,147,438,263,424,318,274,167,280,192,283,322,350,276,NA,353,415,273,213,431,408,231,386,141,432,251,412,315,268,155,276,186,277,321,346
Gd00488,Gd00488,287,253,354,421,273,214,437,431,394,238,388,147,438,263,424,318,274,167,280,194,290,322,350,282,NA,353,415,267,213,436,408,237,386,141,432,251,412,315,268,155,276,192,289,321,346
Gd00489,Gd00489,287,254,354,421,273,214,436,431,394,238,388,147,438,263,424,318,274,167,280,192,289,NA,350,282,NA,353,415,267,213,431,408,237,386,141,432,251,412,315,268,155,276,186,283,NA,346
Gd00490,Gd00490,281,253,354,421,274,214,436,431,394,238,388,147,438,264,424,318,274,167,280,192,289,322,350,276,NA,353,415,273,213,431,408,237,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd00491,Gd00491,281,253,354,421,274,220,436,431,394,238,388,146,438,264,424,318,274,167,280,192,289,322,351,276,NA,353,415,273,219,431,408,237,386,141,432,263,412,315,268,155,276,186,283,321,346
Gd00707,Gd00707,287,255,355,421,395,214,437,431,393,238,394,147,439,263,424,319,274,167,279,193,289,322,351,282,NA,353,415,NA,213,436,408,237,392,141,438,251,412,318,268,155,276,192,283,321,346
Gd00753,Gd00753,282,260,354,421,395,214,437,431,393,237,388,207,439,263,424,319,274,167,279,192,290,322,350,276,NA,353,415,NA,213,436,408,231,386,NA,438,251,412,318,268,155,276,186,289,321,346
Gd01053,Gd01053,286,254,354,421,273,213,436,431,394,237,388,147,438,263,424,318,274,167,279,192,289,321,351,282,NA,353,415,267,207,431,408,231,386,141,432,251,412,315,268,155,276,186,283,311,346
Gd05626,Gd05626,281,255,354,422,273,214,437,431,394,237,388,146,439,263,424,318,274,167,280,193,289,322,350,276,NA,353,421,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05627,Gd05627,281,248,354,422,273,214,437,431,394,237,388,146,439,263,424,318,274,167,279,193,289,322,350,276,NA,353,421,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,283,321,346
