GC,title,url,lat,lon,country,province.state,county,numfinds,numpage
GC25038,WaterlooCaveDwellerI,NA,33.7381666666667,-95.4348666666667,UnitedStates,Texas,GraysonCounty,19,NA
GC25045,WaterlooCaveDwellerII,NA,33.7429666666667,-95.4282833333333,UnitedStates,Texas,GraysonCounty,27,NA
GC252BB,WindCaveRestArea,NA,NA,NA,NA,NA,NA,NA,NA
GC252BX,MakeMineOnTheRocks,NA,NA,NA,NA,NA,NA,NA,NA
GC252YH,OrevilleSparMicaMine,NA,43.8561166666667,-102.3733,UnitedStates,SouthDakota,PenningtonCounty,8,NA
GC254ZP,BeMine,NA,39.2038166666667,-120.956083333333,UnitedStates,California,NevadaCounty,122,NA
GC257D,CaveofReeds,NA,37.7385166666667,-119.04775,UnitedStates,California,StanislausCounty,238,NA
GC25BAM,SubwayCave,NA,40.6860166666667,-120.581233333333,UnitedStates,California,ShastaCounty,192,NA
GC25CJX,OnthewaytoStJohn'sMine,NA,NA,NA,NA,NA,NA,NA,NA
GC25CQ0,StJohn'sMineWhereIgo,NA,NA,NA,NA,NA,NA,NA,NA
GC25DJE,grandviewminecache,NA,34.6217666666667,-115.24335,UnitedStates,California,SanBernardinoCounty,8,NA
GC25DJH,bigmine,NA,34.5676,-115.276433333333,UnitedStates,California,SanBernardinoCounty,23,NA
GC25HEY,Cavelikestoplay,NA,32.92475,-95.2533,UnitedStates,Texas,DallasCounty,66,NA
GC25R4C,AlvordMine,NA,35.0666,-115.371016666667,UnitedStates,California,SanBernardinoCounty,3,NA
GC25RQR,TheMine,NA,33.5331833333333,-113.206466666667,UnitedStates,California,RiversideCounty,9,NA
GC25RTR,MakeMineaRuddles!,NA,36.7291666666667,-120.19525,UnitedStates,California,MontereyCounty,5,NA
GC25VJB,"Inacaverninacanyonexcavatingforamine..",NA,46.1630833333333,-121.314616666667,UnitedStates,Washington,CowlitzCounty,19,NA
GC25XXA,TheBatCave,NA,41.4748833333333,-70.46455,UnitedStates,RhodeIsland,WashingtonCounty,39,NA
GC25Z6X,TotheBatCaveRobin,NA,33.4297666666667,-114.184933333333,UnitedStates,California,RiversideCounty,53,NA
