county,WNS_MAP_YR,WNS_STATUS
Barren-Kentucky,2012-13,Absent
Barren-Kentucky,2013-14,Absent
Barren-Kentucky,2015-16,Absent
Barren-Kentucky,2016-17,Absent
Barren-Kentucky,2017-18,Absent
Barren-Kentucky,2018-19,Absent
Barry-Missouri,2006-07,Absent
Barry-Missouri,2007-08,Absent
Barry-Missouri,2008-09,Absent
Barry-Missouri,2009-10,Absent
Barry-Missouri,2010-11,Absent
Barry-Missouri,2011-12,Absent
Barry-Missouri,2012-13,Absent
Barry-Missouri,2013-14,Absent
Barry-Missouri,2014-15,Absent
Barry-Missouri,2016-17,Absent
Barry-Missouri,2017-18,Absent
Barry-Missouri,2018-19,Absent
Bartow-Georgia,2006-07,Absent
Bartow-Georgia,2007-08,Absent
Bartow-Georgia,2008-09,Absent
Bartow-Georgia,2009-10,Absent
Bartow-Georgia,2010-11,Absent
Bartow-Georgia,2011-12,Absent
Bartow-Georgia,2012-13,Absent
Bartow-Georgia,2014-15,Absent
Bartow-Georgia,2015-16,Absent
Bartow-Georgia,2016-17,Absent
Bartow-Georgia,2017-18,Absent
Bartow-Georgia,2018-19,Absent
Bath-Virginia,2006-07,Absent
Bath-Virginia,2007-08,Absent
Bath-Virginia,2009-10,Absent
Bath-Virginia,2010-11,Absent
Bath-Virginia,2011-12,Absent
Bath-Virginia,2012-13,Absent
Bath-Virginia,2013-14,Absent
Bath-Virginia,2014-15,Absent
Bath-Virginia,2015-16,Absent
Bath-Virginia,2016-17,Absent
Bath-Virginia,2017-18,Absent
Bath-Virginia,2018-19,Absent
Baxter-Arkansas,2006-07,Absent
Baxter-Arkansas,2007-08,Absent
Baxter-Arkansas,2008-09,Absent
Baxter-Arkansas,2009-10,Absent
Baxter-Arkansas,2010-11,Absent
Baxter-Arkansas,2012-13,Absent
Baxter-Arkansas,2013-14,Absent
Baxter-Arkansas,2014-15,Absent
Baxter-Arkansas,2015-16,Absent
Baxter-Arkansas,2016-17,Absent
Baxter-Arkansas,2017-18,Absent
Baxter-Arkansas,2018-19,Absent
Beaver-Pennsylvania,2006-07,Absent
Beaver-Pennsylvania,2007-08,Absent
Beaver-Pennsylvania,2008-09,Absent
