"","gc.lat","gen.lat","gc.lon","gen.lon","dist","Region","Country","Province","StrainID","sra_code","lon.x","cave","GC","lon.y","mean"
"115",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB56","NB56",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"116",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB16","NB16",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"117",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB46","NB46",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"118",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB11","NB11",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"119",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB68","NB68",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"120",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB65","NB65",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"121",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB13","NB13",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"122",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB71","NB71",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"123",45.8875,45.9369,-64.4227777777778,-64.4769,6912.40313481639,"North America","Canada","NB","Gd05846","W41203",-64.4769,"Missing","GC16QVH",-64.4227777777778,8.88461538461539
"124",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB12","NB12",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"125",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB17","NB17",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"126",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB18","NB18",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"127",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB54","NB54",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"128",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB10","NB10",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"129",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB14","NB14",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"130",46.31,46.140093,-82.1308333333333,-81.907196,25580.4986107141,"North America","Canada","ON","ON15","ON15",-81.907196,"Missing","GC3WF6R",-82.1308333333333,15.24
"131",46.3325,46.31,-76.4122222222222,-78.71,176972.005690411,"North America","Canada","ON","ON9","ON9",-78.71,"Missing","GC4HWT8",-76.4122222222222,19.0952380952381
"132",46.3325,46.31,-76.4122222222222,-78.71,176972.005690411,"North America","Canada","ON","ON8","ON8",-78.71,"Missing","GC4HWT8",-76.4122222222222,19.0952380952381
"133",46.695,48.46,-81.2413888888889,-81.26,196241.384314235,"North America","Canada","ON","ON7","ON7",-81.26,"Missing","GC7WP2J",-81.2413888888889,3
"134",46.695,48.46,-81.2413888888889,-81.26,196241.384314235,"North America","Canada","ON","ON6","ON6",-81.26,"Missing","GC7WP2J",-81.2413888888889,3
"135",46.695,47.65,-81.2413888888889,-80.77,112023.712056742,"North America","Canada","ON","ON5","ON5",-80.77,"Missing","GC7WP2J",-81.2413888888889,3
"136",46.9625,47.002968,-71.4280555555556,-71.194153,18355.2826066911,"North America","Canada","QU","QU16","QU16",-71.194153,"Missing","GC2414Y",-71.4280555555556,12.9148936170213
"137",47.54,50.4454,-87.6733333333333,-86.0472,344304.189610244,"North America","Canada","ON","Gd00486","22972-2W",-86.0472,"Missing","GCPERA",-87.6733333333333,3.4
"138",47.9875,50.45,-64.1136111111111,30.5,6402984.03644346,"Europe","Ukraine","Ukraine","Gd00501","Gd44",30.5,"Missing","GC2YDGW",-64.1136111111111,4.33333333333333
"139",48.545,48.16,-77.6780555555556,-80.02,178768.029166855,"North America","Canada","ON","ON1","ON1",-80.02,"Missing","GC5YFXF",-77.6780555555556,14.7
"140",48.545,48.15,-77.6780555555556,-80.0333,180009.703382571,"North America","Canada","ON","Gd00085","22971-3",-80.0333,"Missing","GC5YFXF",-77.6780555555556,14.7
"141",48.545,48.15,-77.6780555555556,-80.0333,180009.703382571,"North America","Canada","ON","ON2","ON2",-80.03,"Missing","GC5YFXF",-77.6780555555556,14.7
