GC,title,nospace,url,lat,lon,country,province/state,county,numfinds
GC317MC,The Get Away Cache!,the-get-away-cache,https://www.geocaching.com/geocache/GC317MC_the-get-away-cache,N 47° 26.813,W 053° 24.675,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,78
GC31ECY,PALPHS Footpath,palphs-footpath,https://www.geocaching.com/geocache/GC31ECY_palphs-footpath,N 51° 27.585,W 056° 51.559,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,95
GC32ATR,Golden Slumbers,golden-slumbers,https://www.geocaching.com/geocache/GC32ATR_golden-slumbers,N 48° 57.786,W 054° 36.675,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,49
GC32DB4,Put Me In Coach,put-me-in-coach,https://www.geocaching.com/geocache/GC32DB4_put-me-in-coach,N 47° 31.025,W 052° 47.805,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,42
GC32YKM,Tar Cove (1),tar-cove-1,https://www.geocaching.com/geocache/GC32YKM_tar-cove-1,N 47° 06.147,W 052° 53.370,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,16
GC332ZP,Yankee point cache,yankee-point-cache,https://www.geocaching.com/geocache/GC332ZP_yankee-point-cache,N 51° 19.500,W 056° 42.253,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,32
GC335XT,Enter Griquet (Road to the Vikings # 2),enter-griquet-road-to-the-vikings-2,https://www.geocaching.com/geocache/GC335XT_enter-griquet-road-to-the-vikings-2,N 51° 30.463,W 055° 28.135,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,65
GC33GA2,Upper Brook,upper-brook,https://www.geocaching.com/geocache/GC33GA2_upper-brook,N 51° 28.141,W 055° 37.398,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,70
GC33HNX,Road to the Vikings Final Geocache,road-to-the-vikings-final-geocache,https://www.geocaching.com/geocache/GC33HNX_road-to-the-vikings-final-geocache,N 51° 35.402,W 055° 32.003,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,272
GC33N0J,Caribou Guts,caribou-guts,https://www.geocaching.com/geocache/GC33N0J_caribou-guts,N 52° 56.725,W 066° 48.881,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,66
GC33NGY,Catch of the Day,catch-of-the-day,https://www.geocaching.com/geocache/GC33NGY_catch-of-the-day,N 50° 52.753,W 056° 07.017,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,32
GC33R75,Fishing or golf? -TLAB,fishing-or-golf-tlab,https://www.geocaching.com/geocache/GC33R75_fishing-or-golf-tlab,N 52° 55.570,W 066° 59.405,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,41
GC33R7F,Driving Range,driving-range,https://www.geocaching.com/geocache/GC33R7F_driving-range,N 52° 54.659,W 066° 59.977,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,45
GC33T7F,Le Reservoir du Gunner's Cove(Road to the Vikings),le-reservoir-du-gunners-cove-road-to-the-vikings,https://www.geocaching.com/geocache/GC33T7F_le-reservoir-du-gunners-cove-road-to-the-vikings,N 51° 32.932,W 055° 28.702,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,92
GC34V61,Old Railway,old-railway,https://www.geocaching.com/geocache/GC34V61_old-railway,N 47° 43.652,W 053° 12.577,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,61
GC34V90,Walking the railbed,walking-the-railbed,https://www.geocaching.com/geocache/GC34V90_walking-the-railbed,N 47° 43.683,W 053° 12.276,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,46
GC34VW5,Puddle Hopping,puddle-hopping,https://www.geocaching.com/geocache/GC34VW5_puddle-hopping,N 47° 43.703,W 053° 12.119,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,41
GC34Z09,Port aux Basques Stewardship,port-aux-basques-stewardship,https://www.geocaching.com/geocache/GC34Z09_port-aux-basques-stewardship,N 47° 36.385,W 059° 10.576,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,62
GC359CZ,Path End Or Bust #9,path-end-or-bust-9,https://www.geocaching.com/geocache/GC359CZ_path-end-or-bust-9,N 46° 54.534,W 053° 34.116,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,30
GC35FEP,Hailey Bell' s cache,hailey-bell-s-cache,https://www.geocaching.com/geocache/GC35FEP_hailey-bell-s-cache,N 47° 10.677,W 055° 09.322,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,33
GC35GP3,Memorial Clock Tower: Be yours to hold it high,memorial-clock-tower-be-yours-to-hold-it-high,https://www.geocaching.com/geocache/GC35GP3_memorial-clock-tower-be-yours-to-hold-it-high,N 47° 34.335,W 052° 44.067,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,221
GC35N4H,Plowman's Cove,plowmans-cove,https://www.geocaching.com/geocache/GC35N4H_plowmans-cove,N 50° 31.514,W 057° 24.184,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,119
GC36FWN,Clearview of Paradise,clearview-of-paradise,https://www.geocaching.com/geocache/GC36FWN_clearview-of-paradise,N 47° 32.004,W 052° 52.647,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,44
