GC,title,lower,nospace,url,lat,lon,numfind,numpage
GC748NY,68- SHORTCUT ROUTE 112,68 shortcut route 112,68-shortcut-route-112,https://www.geocaching.com/geocache/GC748NY_68-shortcut-route-112,N 45° 58.563,W 065° 40.852,45,2
GC748P0,69- SHORTCUT ROUTE 112,69 shortcut route 112,69-shortcut-route-112,https://www.geocaching.com/geocache/GC748P0_69-shortcut-route-112,N 45° 58.378,W 065° 41.413,45,2
GC748P2,70- SHORTCUT ROUTE 112,70 shortcut route 112,70-shortcut-route-112,https://www.geocaching.com/geocache/GC748P2_70-shortcut-route-112,N 45° 58.260,W 065° 41.873,43,2
GC748P3,71- SHORTCUT ROUTE 112,71 shortcut route 112,71-shortcut-route-112,https://www.geocaching.com/geocache/GC748P3_71-shortcut-route-112,N 45° 58.204,W 065° 42.203,44,2
GC748P4,72- SHORTCUT ROUTE 112,72 shortcut route 112,72-shortcut-route-112,https://www.geocaching.com/geocache/GC748P4_72-shortcut-route-112,N 45° 58.074,W 065° 42.920,46,2
GC748P6,73- SHORTCUT ROUTE 112 - Shine,73 shortcut route 112  shine,73-shortcut-route-112-shine,https://www.geocaching.com/geocache/GC748P6_73-shortcut-route-112-shine,N 45° 58.083,W 065° 43.297,46,2
GC748P8,74- SHORTCUT ROUTE 112,74 shortcut route 112,74-shortcut-route-112,https://www.geocaching.com/geocache/GC748P8_74-shortcut-route-112,N 45° 57.613,W 065° 44.138,49,2
GC748PA,Don't Worry Be Happy,dont worry be happy,dont-worry-be-happy,https://www.geocaching.com/geocache/GC748PA_dont-worry-be-happy,,,1,1
GC748PC,75- SHORTCUT ROUTE 112 - TNT,75 shortcut route 112  tnt,75-shortcut-route-112-tnt,https://www.geocaching.com/geocache/GC748PC_75-shortcut-route-112-tnt,N 45° 56.293,W 065° 45.358,46,2
GC748PD,76- SHORTCUT ROUTE 112,76 shortcut route 112,76-shortcut-route-112,https://www.geocaching.com/geocache/GC748PD_76-shortcut-route-112,N 45° 56.297,W 065° 46.892,50,2
GC748PJ,77- COLES ISLAND ROAD,77 coles island road,77-coles-island-road,https://www.geocaching.com/geocache/GC748PJ_77-coles-island-road,N 45° 56.304,W 065° 49.238,78,4
GC78QD8,McGivney's Nook,mcgivneys nook,mcgivneys-nook,https://www.geocaching.com/geocache/GC78QD8_mcgivneys-nook,N 46° 21.554,W 066° 33.431,13,1
GC78ZG0,Where I grew up fishin',where i grew up fishin,where-i-grew-up-fishin,https://www.geocaching.com/geocache/GC78ZG0_where-i-grew-up-fishin,N 45° 52.493,W 066° 01.312,19,1
GC7908G,A Bridge Over Tracks,a bridge over tracks,a-bridge-over-tracks,https://www.geocaching.com/geocache/GC7908G_a-bridge-over-tracks,N 46° 21.734,W 066° 33.384,16,1
GC7AJWE,A Small Tree With A View,a small tree with a view,a-small-tree-with-a-view,https://www.geocaching.com/geocache/GC7AJWE_a-small-tree-with-a-view,N 45° 58.349,W 066° 38.737,34,2
GC7CK2N,Nashwaak Watershed Tour #6,nashwaak watershed tour 6,nashwaak-watershed-tour-6,https://www.geocaching.com/geocache/GC7CK2N_nashwaak-watershed-tour-6,N 45° 58.556,W 066° 35.553,2,1
GC7DAVT,New Lenentine Cemetery,new lenentine cemetery,new-lenentine-cemetery,https://www.geocaching.com/geocache/GC7DAVT_new-lenentine-cemetery,N 45° 59.607,W 067° 25.979,5,1
GC7DJP1,aWard,award,award,https://www.geocaching.com/geocache/GC7DJP1_award,N 46° 02.024,W 066° 37.030,11,1
GC7ER02,"Big Rock, Nope!",big rock nope,big-rock-nope,https://www.geocaching.com/geocache/GC7ER02_big-rock-nope,N 45° 24.762,W 065° 56.780,27,2
GC7ETY2,"Nursery Rhyme Fun, ""One - Two Buckle My Shoe""","nursery rhyme fun ""one  two buckle my shoe""",nursery-rhyme-fun-one-two-buckle-my-shoe,https://www.geocaching.com/geocache/GC7ETY2_nursery-rhyme-fun-one-two-buckle-my-shoe,N 45° 24.985,W 065° 58.273,45,2
GC7EW6E,"Nursery Rhyme Fun ""A Wise Old Owl""","nursery rhyme fun ""a wise old owl""",nursery-rhyme-fun-a-wise-old-owl,https://www.geocaching.com/geocache/GC7EW6E_nursery-rhyme-fun-a-wise-old-owl,N 45° 25.387,W 065° 57.783,45,2
GC7FZW3,Mi'kmaq Fishing,mikmaq fishing,mikmaq-fishing,https://www.geocaching.com/geocache/GC7FZW3_mikmaq-fishing,N 46° 57.528,W 065° 50.899,0,0
GC7G0E5,"2018, Hello New Year",2018 hello new year,2018-hello-new-year,https://www.geocaching.com/geocache/GC7G0E5_2018-hello-new-year,N 45° 24.989,W 065° 56.542,18,1
GC7H9C3,2-Tie Me Kangaroo Down Sport,2tie me kangaroo down sport,2tie-me-kangaroo-down-sport,https://www.geocaching.com/geocache/GC7H9C3_2tie-me-kangaroo-down-sport,N 45° 43.525,W 065° 31.895,65,3
GC7HRE4,HOTEL SERIES - GRAND FALLS/GRAND SAULT,hotel series  grand fallsgrand sault,hotel-series-grand-fallsgrand-sault,https://www.geocaching.com/geocache/GC7HRE4_hotel-series-grand-fallsgrand-sault,N 47° 02.638,W 067° 46.116,19,1
GC7J85N,1st Nassis Scouts,1st nassis scouts,1st-nassis-scouts,https://www.geocaching.com/geocache/GC7J85N_1st-nassis-scouts,N 45° 37.000,W 067° 01.069,6,1
GC7QPTD,Celebrating 150 Years,celebrating 150 years,celebrating-150-years,https://www.geocaching.com/geocache/GC7QPTD_celebrating-150-years,N 45° 18.284,W 066° 11.696,20,1
GC7R33R,1st St. Margaret's Scout Group,1st st margarets scout group,1st-st-margarets-scout-group,https://www.geocaching.com/geocache/GC7R33R_1st-st-margarets-scout-group,N 45° 47.214,W 066° 51.172,10,1
GC7RBNF,Stop for a Quicky,stop for a quicky,stop-for-a-quicky,https://www.geocaching.com/geocache/GC7RBNF_stop-for-a-quicky,N 45° 50.623,W 066° 12.478,22,1
GC7RNH7,Protein in the Pines,protein in the pines,protein-in-the-pines,https://www.geocaching.com/geocache/GC7RNH7_protein-in-the-pines,N 45° 59.071,W 066° 42.700,3,1
GC7RNT0,Guarding the Penninsula #1,guarding the penninsula 1,guarding-the-penninsula-1,https://www.geocaching.com/geocache/GC7RNT0_guarding-the-penninsula-1,N 45° 20.948,W 066° 11.440,11,1
GC7RNTH,Milkish Inlet Covered Bridge,milkish inlet covered bridge,milkish-inlet-covered-bridge,https://www.geocaching.com/geocache/GC7RNTH_milkish-inlet-covered-bridge,N 45° 21.278,W 066° 07.924,11,1
GC7RNTR,Guarding the Penninsula #2,guarding the penninsula 2,guarding-the-penninsula-2,https://www.geocaching.com/geocache/GC7RNTR_guarding-the-penninsula-2,N 45° 27.457,W 065° 59.319,17,1
GC7RNV9,Guarding the Penninsula #4,guarding the penninsula 4,guarding-the-penninsula-4,https://www.geocaching.com/geocache/GC7RNV9_guarding-the-penninsula-4,N 45° 26.068,W 066° 07.879,8,1
GC7RNVF,Guarding the Pennisuala #5,guarding the pennisuala 5,guarding-the-pennisuala-5,https://www.geocaching.com/geocache/GC7RNVF_guarding-the-pennisuala-5,N 45° 24.408,W 066° 09.566,9,1
GC7TRK6,Fall Favourites - Explained!!!,fall favourites  explained,fall-favourites-explained,https://www.geocaching.com/geocache/GC7TRK6_fall-favourites-explained,N 45° 56.385,W 066° 39.483,9,1
GC7V072,Welcome to Ritchie Lake!,welcome to ritchie lake,welcome-to-ritchie-lake,https://www.geocaching.com/geocache/GC7V072_welcome-to-ritchie-lake,N 45° 24.796,W 065° 58.324,28,2
GC7V3MC,Coin Collector Cache,coin collector cache,coin-collector-cache,https://www.geocaching.com/geocache/GC7V3MC_coin-collector-cache,N 45° 54.432,W 066° 00.870,5,1
GC7VR5J,Scotch Colony #5,scotch colony 5,scotch-colony-5,https://www.geocaching.com/geocache/GC7VR5J_scotch-colony-5,N 46° 41.298,W 067° 35.221,0,0
GC80VKY,"2019, Hello New Year",2019 hello new year,2019-hello-new-year,https://www.geocaching.com/geocache/GC80VKY_2019-hello-new-year,N 45° 24.989,W 065° 56.542,10,1
